__time,/foil_consigne/servo_aileron_left,/foil_consigne/servo_aileron_right,/foil_consigne/servo_foil,/foil_consigne/servo_gouvernail,/foil_consigne/thruster
1707317341.033946,2.430089474,-0.547353089,-1.488721251,0.000000000,40.000000000
1707317341.133744,2.422630548,-0.556598961,-1.489614725,0.000000000,40.000000000
1707317341.233885,2.425092697,-0.552882671,-1.488987684,0.000000000,40.000000000
1707317341.333765,2.440573454,-0.538539290,-1.489556432,0.000000000,40.000000000
1707317341.433664,2.454687357,-0.524440944,-1.489564180,0.000000000,40.000000000
1707317341.533779,2.469475269,-0.508843064,-1.489159226,0.000000000,40.000000000
1707317341.633778,2.474463463,-0.504442811,-1.489453197,0.000000000,40.000000000
1707317341.733870,2.474590778,-0.504540265,-1.489565611,0.000000000,40.000000000
1707317341.833812,2.468356133,-0.511321366,-1.489838719,0.000000000,40.000000000
1707317341.933836,2.454381943,-0.521063864,-1.487722874,0.000000000,40.000000000
1707317342.033738,2.445832253,-0.527408779,-1.486620545,0.000000000,40.000000000
1707317342.133650,2.441017389,-0.531122565,-1.486070037,0.000000000,40.000000000
1707317342.233752,2.443087578,-0.529215932,-1.486151814,0.000000000,40.000000000
1707317342.333675,2.451303720,-0.521127999,-1.486215949,0.000000000,40.000000000
1707317342.433682,2.458375931,-0.513039708,-1.485707879,0.000000000,40.000000000
1707317342.533546,2.467295408,-0.508112907,-1.487704158,0.000000000,40.000000000
1707317342.633639,2.468694925,-0.507270932,-1.487982869,0.000000000,40.000000000
1707317342.733527,2.463861704,-0.511226535,-1.487544060,0.000000000,40.000000000
1707317342.833593,2.457988739,-0.517480135,-1.487734437,0.000000000,40.000000000
1707317342.933468,2.448055267,-0.526664376,-1.487359881,0.000000000,40.000000000
1707317343.033478,2.444068670,-0.529662311,-1.486865520,0.000000000,40.000000000
1707317343.133521,2.441454887,-0.531652927,-1.486553907,0.000000000,40.000000000
1707317343.233581,2.444964409,-0.528155148,-1.486559749,0.000000000,40.000000000
1707317343.333484,2.451355696,-0.518910170,-1.485132933,0.000000000,40.000000000
1707317343.433547,2.456258297,-0.512201190,-1.484229684,0.000000000,40.000000000
